index,cis
1001,5.2
1002,2.5
1003,4.1
1004,4.4
1005,2.3
1006,2.2
1007,2.4
1008,2.4
1009,3.2
1010,2.7
1011,2.6
1012,3.0
1013,3.6
1014,3.6
1015,2.8
1016,3.2
1017,2.9
1018,5.3
1019,2.2
1020,3.0
1021,1.8
1022,3.2
1023,3.3
1024,3.1
1025,4.7
1026,2.8
1027,4.3
1028,3.1
1029,3.6
1030,4.1
1031,2.6
1032,2.5
1033,2.3
1034,2.6
1035,3.5
1036,2.7
1037,2.7
1038,2.8
1039,3.8
1040,2.3
1041,4.2
1042,3.8
1043,3.9
1044,3.4
1045,5.2
1046,4.9
1047,2.7
1048,4.0
1049,3.8
1050,2.8
1051,2.9
1052,3.1
1053,2.8
1054,4.5
1055,3.4
1056,2.3
1057,2.7
1058,3.2
1059,2.3
1060,3.1
1061,2.8
1062,4.0
1063,4.3
1064,4.9
1065,3.8
1066,3.0
1067,3.3
1068,3.6
1069,2.7
1070,3.6
1071,3.2
1072,2.0
1073,2.7
1074,3.3
1075,3.0
1076,3.1
1077,3.1
1078,2.9
1079,2.6
1080,3.2
1081,3.0
1082,3.5
1083,2.6
1084,2.1
1085,3.5
1086,2.0
1087,4.5
1088,2.7
1089,3.1
1090,3.4
1091,3.7
1092,3.0
1093,3.2
1094,3.4
1095,3.8
1096,4.3
1097,3.2
1098,1.7
1099,2.7
1100,2.4
1101,3.6
1102,2.7
1103,3.2
1104,4.5
1105,2.9
1106,2.3
1107,3.3
1108,3.2
1109,3.4
1110,3.1
1111,3.7
1112,3.9
1113,3.8
1114,2.5
1115,3.2
1116,3.6
1117,3.0
1118,2.2
1119,3.5
1120,3.5
1121,2.4
1122,4.2
1123,3.6
1124,2.0
1125,3.9
1126,4.2
1127,4.3
1128,2.3
1129,2.4
1130,4.3
1131,4.2
1132,4.3
1133,2.6
1134,2.9
1135,2.5
1136,3.2
1137,3.1
1138,4.6
1139,2.9
1140,4.2
1141,5.1
1142,5.1
1143,2.3
1144,2.8
1145,1.8
1146,2.5
1147,5.1
1148,3.1
1149,2.9
1150,3.5
